Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,08/09/2024,08:15:00 PM,Sp Lisbon,Rio Ave,3,1,H,2,0,H,23,3,6,1,9,14,6,1,2,2,0,0,1.16,8.42,15.65,1.45,2.82,1.85,2.05
P1,08/10/2024,03:30:00 PM,AVS,Nacional,1,1,D,0,1,A,17,6,3,2,8,13,4,2,1,1,0,0,2.26,3.28,3.31,2.12,1.75,1.95,1.92
P1,08/10/2024,06:00:00 PM,Casa Pia,Boavista,0,1,A,0,0,D,15,5,4,2,12,6,3,1,2,1,0,0,1.91,3.47,4.17,2.11,1.75,1.93,1.94
P1,08/10/2024,08:30:00 PM,Porto,Gil Vicente,3,0,H,1,0,H,16,3,7,2,18,10,6,2,0,3,0,1,1.17,7.35,14.81,1.52,2.57,1.93,1.93
P1,08/11/2024,03:30:00 PM,Estoril,Santa Clara,1,4,A,1,1,D,4,9,2,8,11,20,1,3,6,3,0,0,2.21,3.25,3.45,2.42,1.58,1.9,1.95
P1,08/11/2024,06:00:00 PM,Famalicao,Benfica,2,0,H,1,0,H,9,10,5,1,8,13,0,7,3,4,0,0,6.55,4.79,1.44,1.58,2.41,1.88,1.97
P1,08/11/2024,06:00:00 PM,Farense,Moreirense,1,2,A,0,1,A,10,10,5,6,14,11,5,4,0,4,0,1,2.99,3.19,2.49,2.19,1.69,2.12,1.76
P1,08/11/2024,08:30:00 PM,Sp Braga,Estrela,1,1,D,0,0,D,13,6,5,4,14,9,13,4,3,5,0,0,1.37,5.12,7.42,1.57,2.44,2.07,1.78
P1,08/12/2024,08:15:00 PM,Arouca,Guimaraes,0,1,A,0,1,A,8,11,0,4,13,11,6,5,7,2,1,0,2.88,3.39,2.45,1.9,1.93,1.76,2.11
P1,08/16/2024,05:00:00 PM,Santa Clara,Porto,0,2,A,0,2,A,5,8,2,6,19,12,2,2,2,3,1,0,6,4.42,1.55,1.96,1.93,1.95,1.95
P1,08/16/2024,08:15:00 PM,Gil Vicente,AVS,4,2,H,2,2,D,16,10,6,5,6,12,2,3,1,4,0,1,2.31,3.35,3.32,2.1,1.79,1.98,1.92
P1,08/17/2024,03:30:00 PM,Rio Ave,Farense,1,0,H,1,0,H,9,14,3,4,8,16,7,14,0,1,0,0,2.01,3.42,3.83,2.01,1.85,2.03,1.85
P1,08/17/2024,06:00:00 PM,Nacional,Sp Lisbon,1,6,A,1,2,A,12,20,6,10,9,10,4,3,1,1,0,0,10.39,6.13,1.24,1.57,2.4,1.88,1.96
P1,08/17/2024,08:30:00 PM,Benfica,Casa Pia,3,0,H,0,0,D,26,5,7,1,6,14,12,2,0,1,0,0,1.16,7.79,13.97,1.41,2.85,1.92,1.93
P1,08/18/2024,03:30:00 PM,Moreirense,Arouca,3,1,H,2,1,H,14,15,6,3,14,12,7,5,1,2,0,0,2.36,3.18,3.22,2.08,1.76,2.02,1.84
P1,08/18/2024,06:00:00 PM,Guimaraes,Estoril,1,0,H,1,0,H,14,3,5,1,15,17,9,3,2,1,0,0,1.56,4.06,5.84,1.88,1.94,2.01,1.85
P1,08/18/2024,08:30:00 PM,Boavista,Sp Braga,0,1,A,0,1,A,7,12,1,3,8,9,3,8,3,1,0,0,5.22,4.23,1.59,1.77,2.07,1.83,2.04
