Date,country,league,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,home_close,home_open,draw_close,draw_open,away_close,away_open,over_2.5_close,over_2.5_open,under_2.5_close,under_2.5_open,bts_yes_close,bts_yes_open,bts_no_close,bts_no_open
2009-08-29 20:00:00,spain,laliga,2009-2010,Real Madrid,Dep. La Coruna,3,2,2,1,1.23,1.23,6.02,5.08,12.55,10.64,1.48,1.46,2.57,2.29,,,,
2009-08-29 22:00:00,spain,laliga,2009-2010,Zaragoza,Tenerife,1,0,0,0,1.89,1.88,3.38,3.35,4.14,4.03,1.95,2.02,1.88,1.8,,,,
2009-08-30 17:00:00,spain,laliga,2009-2010,Racing Santander,Getafe,1,4,1,3,2.2,1.97,3.22,3.16,3.31,3.49,2.24,1.93,1.67,1.64,,,,
2009-08-30 17:00:00,spain,laliga,2009-2010,Osasuna,Villarreal,1,1,1,1,2.65,2.77,3.24,3.14,2.61,2.32,2.06,1.97,1.74,1.69,,,,
2009-08-30 17:00:00,spain,laliga,2009-2010,Mallorca,Xerez CD,2,0,0,0,1.94,1.72,3.31,3.5,4.04,4.88,1.98,1.94,1.84,1.87,,,,
2009-08-30 17:00:00,spain,laliga,2009-2010,Malaga,Atl. Madrid,3,0,1,0,3.8,3.12,3.5,3.18,1.93,2.12,1.78,1.8,2.06,1.79,,,,
2009-08-30 17:00:00,spain,laliga,2009-2010,Ath Bilbao,Espanyol,1,0,0,0,2.21,2.09,3.29,3.16,3.22,3.17,2.08,1.97,1.75,1.69,,,,
2009-08-30 19:00:00,spain,laliga,2009-2010,Valencia,Sevilla,2,0,0,0,2.25,2.25,3.32,3.15,3.13,2.86,1.82,1.84,2.02,1.77,,,,
2009-08-30 21:00:00,spain,laliga,2009-2010,Almeria,Valladolid,0,0,0,0,2.18,2.06,3.27,3.17,3.31,3.24,2.1,1.94,1.73,1.67,,,,
2009-08-31 22:00:00,spain,laliga,2009-2010,Barcelona,Gijon,3,0,2,0,1.15,1.15,7.55,6.3,17.53,13.25,1.4,1.36,2.87,2.62,,,,
